id,name,lat,long
ID11,ACEH,4.695135,96.74939930000001
ID12,SUMATERA UTARA,2.1153547,99.5450974
ID13,SUMATERA BARAT,-0.7399397,100.80000509999999
ID14,RIAU,0.2933469,101.70682940000002
ID15,JAMBI,-1.4851831,102.43805809999999
ID16,SUMATERA SELATAN,-3.3194373999999995,103.914399
ID17,BENGKULU,-3.5778470999999996,102.3463875
ID18,LAMPUNG,-4.5585849000000005,105.40680790000002
ID19,KEPULAUAN BANGKA BELITUNG,-2.7410513,106.4405872
ID21,KEPULAUAN RIAU,3.9456513999999996,108.1428669
ID31,DKI JAKARTA,-6.211544,106.84517199999999
ID32,JAWA BARAT,-7.090911,107.66888700000001
ID33,JAWA TENGAH,-7.150975,110.1402594
ID34,DI YOGYAKARTA,-7.8753849,110.4262088
ID35,JAWA TIMUR,-7.536063900000001,112.2384017
ID36,BANTEN,-6.4058171999999995,106.0640179
ID51,BALI,-8.409517800000001,115.18891599999999
ID52,NUSA TENGGARA BARAT,-8.6529334,117.3616476
ID53,NUSA TENGGARA TIMUR,-8.6573819,121.07937050000001
ID61,KALIMANTAN BARAT,-0.2787808,111.47528510000001
ID62,KALIMANTAN TENGAH,-1.6814878,113.38235449999999
ID63,KALIMANTAN SELATAN,-3.0926415,115.28375849999999
ID64,KALIMANTAN TIMUR,1.6406296000000002,116.419389
ID65,KALIMANTAN UTARA,null,null
ID71,SULAWESI UTARA,0.6246932,123.97500179999999
ID72,SULAWESI TENGAH,-1.4300254,121.4456179
ID73,SULAWESI SELATAN,-3.6687993999999997,119.9740534
ID74,SULAWESI TENGGARA,-4.144909999999999,122.174605
ID75,GORONTALO,0.6999371999999999,122.44672379999999
ID76,SULAWESI BARAT,-2.8441370999999998,119.23207839999999
ID81,MALUKU,-3.2384616000000004,130.1452734
ID82,MALUKU UTARA,1.5709993,127.8087693
ID91,PAPUA BARAT,-1.3361154,133.1747162
ID94,PAPUA,-4.269928,138.0803529
